2019-06-23 10:03:53.005116, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:03:59.884749, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:04:04.662452, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:04:24.013413, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:04:28.785082, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:05:49.703653, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:05:54.543679, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:05:55.210635, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:05:56.165993, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:05:58.928035, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:06:21.312782, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:06:22.004318, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:06:24.431522, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:06:26.763140, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:06:45.781296, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:06:50.210020, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:06:55.016427, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:06:58.091896, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:07:38.063571, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:07:41.549377, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:08:50.213597, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:08:53.465099, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:09:12.256619, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:10:15.585024, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:10:20.329559, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:10:41.436814, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:10:46.185164, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:11:08.119891, INFO, BHS_INTF, Got BAG_START
