2019-05-06 10:50:22.500863, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000149] is in the window to link with internal bag_id [000022574], scan state: NotScanned, travel dist: 1630.00, beam_diff: 40.00 entry pos: 396610.00
2019-05-06 10:50:46.068981, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000016a] is in the window to link with internal bag_id [000022575], scan state: NotScanned, travel dist: 1641.00, beam_diff: 51.00 entry pos: 397662.00
2019-05-06 10:50:52.945192, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000146] is in the window to link with internal bag_id [000022576], scan state: NotScanned, travel dist: 1671.00, beam_diff: 81.00 entry pos: 398659.00
2019-05-06 10:51:53.069467, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000151] is in the window to link with internal bag_id [000022577], scan state: NotScanned, travel dist: 1631.00, beam_diff: 41.00 entry pos: 399716.00
2019-05-06 10:52:24.554760, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000017b] is in the window to link with internal bag_id [000022578], scan state: NotScanned, travel dist: 1679.00, beam_diff: 89.00 entry pos: 400700.00
2019-05-06 10:54:02.570374, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000153] is in the window to link with internal bag_id [000022580], scan state: NotScanned, travel dist: 1666.00, beam_diff: 76.00 entry pos: 402754.00
2019-05-06 10:55:51.713563, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000171] is in the window to link with internal bag_id [000022582], scan state: NotScanned, travel dist: 1624.00, beam_diff: 34.00 entry pos: 405170.00
2019-05-06 10:55:58.620661, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000015c] is in the window to link with internal bag_id [000022583], scan state: NotScanned, travel dist: 1615.00, beam_diff: 25.00 entry pos: 406201.00
2019-05-06 10:57:11.564596, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000015d] is in the window to link with internal bag_id [000022584], scan state: NotScanned, travel dist: 1670.00, beam_diff: 80.00 entry pos: 407168.00
2019-05-06 10:57:18.317505, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000172] is in the window to link with internal bag_id [000022585], scan state: NotScanned, travel dist: 1635.00, beam_diff: 45.00 entry pos: 408214.00
2019-05-06 10:59:18.751589, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000164] is in the window to link with internal bag_id [000022586], scan state: NotScanned, travel dist: 1637.00, beam_diff: 47.00 entry pos: 409478.00
2019-05-06 11:00:00.027428, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000015b] is in the window to link with internal bag_id [000022587], scan state: NotScanned, travel dist: 1643.00, beam_diff: 53.00 entry pos: 410573.00
